longitude,Z,,,,,,,,,,
degrees_east,m,,y_n*cos(2pi/360*x_n),y_n*sin(2pi/360*x_n),,Model 1,,y_n*cos(2*PI()*2/360*A3),y_n*sin(2*2*PI()/360*A3),,Model 2
227,5676.3,,-3871.227291,-4151.383017,,5673.268103,,-395.9586719,5662.472818,,5743.10851
228,5665.42,,-3790.90592,-4210.227557,,5672.105662,,-592.1976464,5634.384236,,5742.022735
229,5653.76,,-3709.200296,-4266.946836,,5670.92435,,-786.8513113,5598.737996,,5740.832905
230,5641.86,,-3626.517704,-4321.915502,,5669.724527,,-979.6987077,5556.147469,,5739.539391
231,5630.2397,,-3543.22465,-4375.518045,,5668.506557,,-1170.592656,5507.205454,,5738.142673
232,5619.36,,-3459.623468,-4428.116108,,5667.270813,,-1359.446223,5452.440992,,5736.643339
233,5610.1396,,-3376.266293,-4480.456701,,5666.017671,,-1546.364045,5392.812306,,5735.042086
234,5603.58,,-3293.701684,-4533.391449,,5664.747512,,-1731.601449,5329.321274,,5733.339722
235,5600.06,,-3212.062458,-4587.300597,,5663.460723,,-1915.333324,5262.335058,,5731.537159
236,5599.42,,-3131.155928,-4642.129565,,5662.157696,,-2097.579651,5191.691819,,5729.635417
237,5601.46,,-3050.773769,-4697.77964,,5660.838828,,-2278.319037,5117.188339,,5727.635623
238,5605.86,,-2970.653207,-4754.0389,,5659.504521,,-2457.447277,5038.513592,,5725.539008
239,5611.56,,-2890.16706,-4810.045738,,5658.155182,,-2634.467843,4954.713394,,5723.346908
240,5617.38,,-2808.69,-4864.793783,,5656.791221,,-2808.69,4864.793783,,5721.06076
241,5623.02,,-2726.094191,-4918.004106,,5655.413053,,-2979.746621,4768.591406,,5718.682104
242,5629.08,,-2642.692985,-4970.182636,,5654.0211,,-3147.741589,4666.718819,,5716.212577
243,5635.8,,-2558.599658,-5021.534569,,5652.615783,,-3312.640125,4559.457977,,5713.653917
244,5642.42,,-2473.474126,-5071.373503,,5651.197533,,-3473.820622,4446.287636,,5711.007957
245,5648.1396,,-2387.00694,-5118.952902,,5649.76678,,-3630.554153,4326.725955,,5708.276626
246,5653.08,,-2299.314782,-5164.345556,,5648.323961,,-3782.648848,4201.05715,,5705.461942
247,5657.86,,-2210.702023,-5208.08759,,5646.869514,,-3930.279808,4069.923883,,5702.566018
248,5662.44,,-2121.187359,-5250.122945,,5645.403884,,-4073.218459,3933.461343,,5699.591052
249,5666.26,,-2030.605978,-5289.909427,,5643.927516,,-4210.851799,3791.46799,,5696.53933
250,5669.2197,,-1938.987334,-5327.323918,,5642.440861,,-4342.874248,3644.10418,,5693.41322
251,5672.02,,-1846.629083,-5363.000271,,5640.94437,,-4469.612755,3492.044201,,5690.215174
252,5675.12,,-1753.708525,-5397.359857,,5639.438501,,-4591.268525,3335.751841,,5686.94772
253,5678.08,,-1660.109929,-5429.974909,,5637.92371,,-4707.34166,3175.142041,,5683.613463
254,5680.1797,,-1565.669713,-5460.139172,,5636.400461,,-4817.06558,3010.036647,,5680.21508
255,5681.48,,-1470.475228,-5487.888264,,5634.869217,,-4920.306011,2840.74,,5676.755322
256,5682.84,,-1374.803425,-5514.035365,,5633.330445,,-5017.649899,2667.931776,,5673.237003
257,5684.6597,,-1278.770193,-5538.96224,,5631.784613,,-5109.338294,2491.990792,,5669.663004
258,5686.44,,-1182.277355,-5562.177643,,5630.232191,,-5194.821432,2312.883517,,5666.036268
259,5687.46,,-1085.218529,-5582.965341,,5628.673654,,-5273.321085,2130.560016,,5662.359793
260,5687.9,,-987.6934698,-5601.488018,,5627.109475,,-5344.877658,1945.376373,,5658.636636
261,5688.5,,-889.8774544,-5618.465125,,5625.540132,,-5410.084993,1757.843173,,5654.869903
262,5689.76,,-791.8615429,-5634.387647,,5623.966101,,-5469.348347,1568.310402,,5651.062749
263,5691.32,,-693.5974315,-5648.897764,,5622.387863,,-5522.263473,1376.854923,,5647.218375
